CauseVar,EffectVar,FStatistic,AsymptoticP,BootPValue,Lags,Significant_Asymptotic,Significant_Bootstrap
LOG_INF_B,temperature,2.226945,0.038613,0.766467,6,true,false
LOG_INF_B,dew_point_temperature,0.590259,0.738314,0.912176,6,false,false
LOG_INF_B,relative_humidity,1.945686,0.070881,0.760479,6,false,false
LOG_INF_B,wind_speed,0.841207,0.538142,0.886228,6,false,false
LOG_INF_B,sea_level_pressure,1.481994,0.181140,0.822355,6,false,false
LOG_INF_B,visibility,1.304594,0.252277,0.808383,6,false,false
LOG_INF_B,wet_bulb_temperature,1.061770,0.383854,0.854291,6,false,false
LOG_INF_B,precipitation,0.634648,0.702601,0.894212,6,false,false
LOG_INF_B,precipitation_24_hour,1.443514,0.194932,0.816367,6,false,false
LOG_INF_B,LOG_PRECIPITATION,0.453048,0.843054,0.946108,6,false,false
LOG_INF_B,LOG_VISIBILITY,1.397263,0.212676,0.792415,6,false,false
LOG_INF_B,LOG_PRECIPITATION_24_HOUR,3.626001,0.001463,0.714571,6,true,false
LOG_INF_B,LOG_RELATIVE_HUMIDITY,2.035848,0.058495,0.758483,6,false,false
temperature,LOG_INF_B,0.717121,0.635880,0.890220,6,false,false
temperature,dew_point_temperature,6.019702,0.000003,0.694611,6,true,false
temperature,relative_humidity,3.141731,0.004707,0.746507,6,true,false
temperature,wind_speed,2.462342,0.022839,0.770459,6,true,false
temperature,sea_level_pressure,1.770044,0.102202,0.744511,6,false,false
temperature,visibility,0.849692,0.531681,0.878244,6,false,false
temperature,wet_bulb_temperature,4.254336,0.000310,0.698603,6,true,false
temperature,precipitation,0.474311,0.827707,0.944112,6,false,false
temperature,precipitation_24_hour,1.986876,0.064948,0.830339,6,false,false
temperature,LOG_PRECIPITATION,0.349357,0.910435,0.954092,6,false,false
temperature,LOG_VISIBILITY,1.040255,0.397516,0.848303,6,false,false
temperature,LOG_PRECIPITATION_24_HOUR,1.555281,0.157175,0.790419,6,false,false
temperature,LOG_RELATIVE_HUMIDITY,3.060118,0.005714,0.750499,6,true,false
dew_point_temperature,LOG_INF_B,1.031883,0.402919,0.848303,6,false,false
dew_point_temperature,temperature,1.829797,0.090355,0.794411,6,false,false
dew_point_temperature,relative_humidity,3.150646,0.004608,0.758483,6,true,false
dew_point_temperature,wind_speed,2.827325,0.009876,0.742515,6,true,false
dew_point_temperature,sea_level_pressure,1.326501,0.242411,0.802395,6,false,false
dew_point_temperature,visibility,0.691547,0.656529,0.888224,6,false,false
dew_point_temperature,wet_bulb_temperature,3.543237,0.001790,0.712575,6,true,false
dew_point_temperature,precipitation,0.693114,0.655262,0.906188,6,false,false
dew_point_temperature,precipitation_24_hour,2.034030,0.058724,0.802395,6,false,false
dew_point_temperature,LOG_PRECIPITATION,0.335274,0.918419,0.964072,6,false,false
dew_point_temperature,LOG_VISIBILITY,0.692259,0.655954,0.896208,6,false,false
dew_point_temperature,LOG_PRECIPITATION_24_HOUR,1.691411,0.119928,0.796407,6,false,false
dew_point_temperature,LOG_RELATIVE_HUMIDITY,3.057548,0.005748,0.766467,6,true,false
relative_humidity,LOG_INF_B,1.117035,0.350251,0.866267,6,false,false
relative_humidity,temperature,1.341438,0.235866,0.804391,6,false,false
relative_humidity,dew_point_temperature,2.052842,0.056399,0.758483,6,false,false
relative_humidity,wind_speed,0.599910,0.730587,0.896208,6,false,false
relative_humidity,sea_level_pressure,2.377457,0.027643,0.730539,6,true,false
relative_humidity,visibility,0.658164,0.683566,0.888224,6,false,false
relative_humidity,wet_bulb_temperature,2.112741,0.049556,0.776447,6,true,false
relative_humidity,precipitation,0.419352,0.866428,0.948104,6,false,false
relative_humidity,precipitation_24_hour,0.197811,0.977438,0.986028,6,false,false
relative_humidity,LOG_PRECIPITATION,0.572021,0.752834,0.924152,6,false,false
relative_humidity,LOG_VISIBILITY,0.981681,0.436317,0.836327,6,false,false
relative_humidity,LOG_PRECIPITATION_24_HOUR,0.681922,0.664320,0.872255,6,false,false
relative_humidity,LOG_RELATIVE_HUMIDITY,0.964746,0.447961,0.878244,6,false,false
wind_speed,LOG_INF_B,1.532112,0.164436,0.798403,6,false,false
wind_speed,temperature,2.479834,0.021953,0.710579,6,true,false
wind_speed,dew_point_temperature,3.073742,0.005532,0.744511,6,true,false
wind_speed,relative_humidity,0.505082,0.804805,0.914172,6,false,false
wind_speed,sea_level_pressure,4.640577,0.000118,0.708583,6,true,false
wind_speed,visibility,1.646317,0.131292,0.770459,6,false,false
wind_speed,wet_bulb_temperature,4.641127,0.000117,0.704591,6,true,false
wind_speed,precipitation,1.910039,0.076415,0.784431,6,false,false
wind_speed,precipitation_24_hour,1.116046,0.350834,0.854291,6,false,false
wind_speed,LOG_PRECIPITATION,0.175797,0.983379,0.994012,6,false,false
wind_speed,LOG_VISIBILITY,1.398412,0.212219,0.790419,6,false,false
wind_speed,LOG_PRECIPITATION_24_HOUR,2.417744,0.025254,0.752495,6,true,false
wind_speed,LOG_RELATIVE_HUMIDITY,0.490950,0.815417,0.926148,6,false,false
sea_level_pressure,LOG_INF_B,2.885599,0.008619,0.756487,6,true,false
sea_level_pressure,temperature,3.705906,0.001204,0.728543,6,true,false
sea_level_pressure,dew_point_temperature,3.704018,0.001209,0.734531,6,true,false
sea_level_pressure,relative_humidity,5.155270,0.000032,0.700599,6,true,false
sea_level_pressure,wind_speed,2.795794,0.010629,0.760479,6,true,false
sea_level_pressure,visibility,1.400308,0.211468,0.814371,6,false,false
sea_level_pressure,wet_bulb_temperature,2.420955,0.025072,0.768463,6,true,false
sea_level_pressure,precipitation,0.597865,0.732226,0.918164,6,false,false
sea_level_pressure,precipitation_24_hour,0.894998,0.497808,0.854291,6,false,false
sea_level_pressure,LOG_PRECIPITATION,1.186412,0.311136,0.848303,6,false,false
sea_level_pressure,LOG_VISIBILITY,1.116454,0.350594,0.834331,6,false,false
sea_level_pressure,LOG_PRECIPITATION_24_HOUR,1.833360,0.089690,0.810379,6,false,false
sea_level_pressure,LOG_RELATIVE_HUMIDITY,5.194262,0.000029,0.700599,6,true,false
visibility,LOG_INF_B,0.110375,0.995246,1.000000,6,false,false
visibility,temperature,1.075277,0.375443,0.824351,6,false,false
visibility,dew_point_temperature,1.551741,0.158266,0.786427,6,false,false
visibility,relative_humidity,2.688607,0.013624,0.706587,6,true,false
visibility,wind_speed,1.361105,0.227470,0.790419,6,false,false
visibility,sea_level_pressure,0.395492,0.882177,0.972056,6,false,false
visibility,wet_bulb_temperature,0.509261,0.801639,0.926148,6,false,false
visibility,precipitation,0.094877,0.996874,0.998004,6,false,false
visibility,precipitation_24_hour,0.548625,0.771270,0.928144,6,false,false
visibility,LOG_PRECIPITATION,0.079957,0.998066,1.000000,6,false,false
visibility,LOG_VISIBILITY,6.776292,0.000000,0.660679,6,true,false
visibility,LOG_PRECIPITATION_24_HOUR,0.984466,0.434420,0.866267,6,false,false
visibility,LOG_RELATIVE_HUMIDITY,2.754009,0.011712,0.700599,6,true,false
wet_bulb_temperature,LOG_INF_B,1.195936,0.306033,0.816367,6,false,false
wet_bulb_temperature,temperature,0.332357,0.920033,0.944112,6,false,false
wet_bulb_temperature,dew_point_temperature,1.882150,0.081019,0.770459,6,false,false
wet_bulb_temperature,relative_humidity,0.410375,0.872436,0.952096,6,false,false
wet_bulb_temperature,wind_speed,0.641679,0.696914,0.914172,6,false,false
wet_bulb_temperature,sea_level_pressure,0.899320,0.494635,0.860279,6,false,false
wet_bulb_temperature,visibility,0.421496,0.864979,0.948104,6,false,false
wet_bulb_temperature,precipitation,1.048906,0.391984,0.818363,6,false,false
wet_bulb_temperature,precipitation_24_hour,0.491573,0.814952,0.924152,6,false,false
wet_bulb_temperature,LOG_PRECIPITATION,3.566155,0.001693,0.718563,6,true,false
wet_bulb_temperature,LOG_VISIBILITY,0.357521,0.905662,0.958084,6,false,false
wet_bulb_temperature,LOG_PRECIPITATION_24_HOUR,0.302898,0.935521,0.964072,6,false,false
wet_bulb_temperature,LOG_RELATIVE_HUMIDITY,0.428166,0.860435,0.946108,6,false,false
precipitation,LOG_INF_B,1.170357,0.319884,0.818363,6,false,false
precipitation,temperature,0.349767,0.910197,0.954092,6,false,false
precipitation,dew_point_temperature,1.309991,0.249817,0.802395,6,false,false
precipitation,relative_humidity,1.109443,0.354740,0.824351,6,false,false
precipitation,wind_speed,0.730321,0.625262,0.884232,6,false,false
precipitation,sea_level_pressure,1.216758,0.295098,0.794411,6,false,false
precipitation,visibility,1.414373,0.205960,0.778443,6,false,false
precipitation,wet_bulb_temperature,0.533561,0.782999,0.908184,6,false,false
precipitation,precipitation_24_hour,1.020829,0.410126,0.840319,6,false,false
precipitation,LOG_PRECIPITATION,13.594616,0.000000,0.534930,6,true,false
precipitation,LOG_VISIBILITY,1.153316,0.329369,0.788423,6,false,false
precipitation,LOG_PRECIPITATION_24_HOUR,1.139275,0.337340,0.826347,6,false,false
precipitation,LOG_RELATIVE_HUMIDITY,1.066086,0.381152,0.826347,6,false,false
precipitation_24_hour,LOG_INF_B,0.458973,0.838821,0.946108,6,false,false
precipitation_24_hour,temperature,2.240515,0.037476,0.738523,6,true,false
precipitation_24_hour,dew_point_temperature,6.592658,0.000001,0.604790,6,true,false
precipitation_24_hour,relative_humidity,4.401929,0.000214,0.672655,6,true,false
precipitation_24_hour,wind_speed,2.066149,0.054806,0.746507,6,false,false
precipitation_24_hour,sea_level_pressure,4.252062,0.000312,0.626747,6,true,false
precipitation_24_hour,visibility,4.098161,0.000457,0.672655,6,true,false
precipitation_24_hour,wet_bulb_temperature,4.623442,0.000123,0.638723,6,true,false
precipitation_24_hour,precipitation,0.943310,0.462964,0.826347,6,false,false
precipitation_24_hour,LOG_PRECIPITATION,0.584275,0.743091,0.892216,6,false,false
precipitation_24_hour,LOG_VISIBILITY,2.549273,0.018751,0.738523,6,true,false
precipitation_24_hour,LOG_PRECIPITATION_24_HOUR,3.421811,0.002403,0.680639,6,true,false
precipitation_24_hour,LOG_RELATIVE_HUMIDITY,4.233851,0.000326,0.682635,6,true,false
LOG_PRECIPITATION,LOG_INF_B,1.848918,0.086837,0.790419,6,false,false
LOG_PRECIPITATION,temperature,1.150622,0.330888,0.832335,6,false,false
LOG_PRECIPITATION,dew_point_temperature,0.577708,0.748319,0.914172,6,false,false
LOG_PRECIPITATION,relative_humidity,0.813189,0.559714,0.870259,6,false,false
LOG_PRECIPITATION,wind_speed,1.515551,0.169802,0.766467,6,false,false
LOG_PRECIPITATION,sea_level_pressure,1.302602,0.253190,0.796407,6,false,false
LOG_PRECIPITATION,visibility,1.368531,0.224364,0.752495,6,false,false
LOG_PRECIPITATION,wet_bulb_temperature,0.824510,0.550955,0.864271,6,false,false
LOG_PRECIPITATION,precipitation,18.548594,0.000000,0.578842,6,true,false
LOG_PRECIPITATION,precipitation_24_hour,0.660519,0.681658,0.902196,6,false,false
LOG_PRECIPITATION,LOG_VISIBILITY,1.261477,0.272635,0.786427,6,false,false
LOG_PRECIPITATION,LOG_PRECIPITATION_24_HOUR,1.119330,0.348903,0.836327,6,false,false
LOG_PRECIPITATION,LOG_RELATIVE_HUMIDITY,0.862779,0.521786,0.866267,6,false,false
LOG_VISIBILITY,LOG_INF_B,0.059480,0.999166,1.000000,6,false,false
LOG_VISIBILITY,temperature,1.021267,0.409839,0.828343,6,false,false
LOG_VISIBILITY,dew_point_temperature,1.179266,0.315007,0.812375,6,false,false
LOG_VISIBILITY,relative_humidity,2.283144,0.034106,0.732535,6,true,false
LOG_VISIBILITY,wind_speed,1.055723,0.387661,0.828343,6,false,false
LOG_VISIBILITY,sea_level_pressure,0.615711,0.717885,0.924152,6,false,false
LOG_VISIBILITY,visibility,4.437969,0.000196,0.654691,6,true,false
LOG_VISIBILITY,wet_bulb_temperature,0.351151,0.909395,0.960080,6,false,false
LOG_VISIBILITY,precipitation,0.113568,0.994858,0.990020,6,false,false
LOG_VISIBILITY,precipitation_24_hour,0.251059,0.958932,0.982036,6,false,false
LOG_VISIBILITY,LOG_PRECIPITATION,0.044310,0.999643,1.000000,6,false,false
LOG_VISIBILITY,LOG_PRECIPITATION_24_HOUR,1.005658,0.420154,0.856287,6,false,false
LOG_VISIBILITY,LOG_RELATIVE_HUMIDITY,2.374871,0.027804,0.720559,6,true,false
LOG_PRECIPITATION_24_HOUR,LOG_INF_B,1.560955,0.155440,0.824351,6,false,false
LOG_PRECIPITATION_24_HOUR,temperature,1.926523,0.073808,0.790419,6,false,false
LOG_PRECIPITATION_24_HOUR,dew_point_temperature,1.760247,0.104274,0.762475,6,false,false
LOG_PRECIPITATION_24_HOUR,relative_humidity,2.263959,0.035585,0.750499,6,true,false
LOG_PRECIPITATION_24_HOUR,wind_speed,0.984714,0.434251,0.836327,6,false,false
LOG_PRECIPITATION_24_HOUR,sea_level_pressure,1.723199,0.112454,0.762475,6,false,false
LOG_PRECIPITATION_24_HOUR,visibility,1.658926,0.128022,0.770459,6,false,false
LOG_PRECIPITATION_24_HOUR,wet_bulb_temperature,1.439747,0.196329,0.796407,6,false,false
LOG_PRECIPITATION_24_HOUR,precipitation,0.302423,0.935758,0.974052,6,false,false
LOG_PRECIPITATION_24_HOUR,precipitation_24_hour,2.372750,0.027936,0.770459,6,true,false
LOG_PRECIPITATION_24_HOUR,LOG_PRECIPITATION,0.282855,0.945176,0.976048,6,false,false
LOG_PRECIPITATION_24_HOUR,LOG_VISIBILITY,1.149245,0.331666,0.814371,6,false,false
LOG_PRECIPITATION_24_HOUR,LOG_RELATIVE_HUMIDITY,2.194767,0.041440,0.752495,6,true,false
LOG_RELATIVE_HUMIDITY,LOG_INF_B,0.713559,0.638750,0.894212,6,false,false
LOG_RELATIVE_HUMIDITY,temperature,1.616342,0.139366,0.800399,6,false,false
LOG_RELATIVE_HUMIDITY,dew_point_temperature,3.261141,0.003538,0.706587,6,true,false
LOG_RELATIVE_HUMIDITY,relative_humidity,0.907731,0.488491,0.864271,6,false,false
LOG_RELATIVE_HUMIDITY,wind_speed,0.799197,0.570614,0.850299,6,false,false
LOG_RELATIVE_HUMIDITY,sea_level_pressure,2.184898,0.042346,0.730539,6,true,false
LOG_RELATIVE_HUMIDITY,visibility,0.652858,0.687864,0.884232,6,false,false
LOG_RELATIVE_HUMIDITY,wet_bulb_temperature,3.067414,0.005616,0.720559,6,true,false
LOG_RELATIVE_HUMIDITY,precipitation,0.714924,0.637650,0.892216,6,false,false
LOG_RELATIVE_HUMIDITY,precipitation_24_hour,1.243800,0.281349,0.850299,6,false,false
LOG_RELATIVE_HUMIDITY,LOG_PRECIPITATION,0.579079,0.747229,0.928144,6,false,false
LOG_RELATIVE_HUMIDITY,LOG_VISIBILITY,1.101137,0.359697,0.820359,6,false,false
LOG_RELATIVE_HUMIDITY,LOG_PRECIPITATION_24_HOUR,0.724761,0.629731,0.900200,6,false,false
