Rank,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,Total_Records,INF_A_NaN_Count,INF_B_NaN_Count,INF_ALL_NaN_Count,Total_NaN_Count,NaN_Percentage,Data_Quality_Score
1,MSR,Montserrat,1,0,0,0,0,0.0,100.0
2,SDN,Sudan,21,0,13,9,22,34.92,65.08
3,COG,Congo,37,0,0,22,22,19.82,80.18
4,QAT,Qatar,774,0,0,55,55,2.37,97.63
5,LSO,Lesotho,40,29,0,29,58,48.33,51.67
6,KWT,Kuwait,187,16,29,14,59,10.52,89.48
7,USA,United States of America,1895,15,20,38,73,1.28,98.72
8,CHN,China,972,47,19,9,75,2.57,97.43
9,PRK,Democratic People's Republic of Korea,107,25,25,31,81,25.23,74.77
10,ARE,United Arab Emirates,437,8,5,81,94,7.17,92.83
11,IDN,Indonesia,867,27,7,84,118,4.54,95.46
12,GHA,Ghana,898,17,1,125,143,5.31,94.69
13,SGP,Singapore,1008,17,17,127,161,5.32,94.68
14,OMN,Oman,871,6,1,162,169,6.47,93.53
15,AGO,Angola,170,23,0,149,172,33.73,66.27
16,HKG,"China, Hong Kong SAR",1394,33,41,100,174,4.16,95.84
17,GUY,Guyana,264,25,10,150,185,23.36,76.64
18,BHR,Bahrain,650,26,23,144,193,9.9,90.1
19,BGD,Bangladesh,823,49,0,154,203,8.22,91.78
20,SAU,Saudi Arabia,463,87,74,47,208,14.97,85.03
21,NAM,Namibia,179,115,0,98,213,39.66,60.34
22,LIE,Liechtenstein,282,0,3,214,217,25.65,74.35
23,CAN,Canada,1302,29,79,120,228,5.84,94.16
24,LBY,Libya,137,80,91,62,233,56.69,43.31
25,KEN,Kenya,896,45,52,137,234,8.71,91.29
26,CIV,Côte d’Ivoire,846,63,12,162,237,9.34,90.66
27,SSD,South Sudan,247,112,0,126,238,32.12,67.88
28,MAF,Saint Martin (French part),153,45,45,151,241,52.51,47.49
29,BLM,Saint Barthélemy,154,45,45,154,244,52.81,47.19
30,GAB,Gabon,155,133,0,119,252,54.19,45.81
31,KHM,Cambodia,1004,11,4,239,254,8.43,91.57
32,NZL,New Zealand,704,68,82,115,265,12.55,87.45
33,ZWE,Zimbabwe,137,125,42,116,283,68.86,31.14
34,TGO,Togo,773,54,0,229,283,12.2,87.8
35,JPN,Japan,1484,19,18,246,283,6.36,93.64
36,ETH,Ethiopia,664,37,55,192,284,14.26,85.74
37,TZA,United Republic of Tanzania,831,38,0,249,287,11.51,88.49
38,ZMB,Zambia,863,48,1,246,295,11.39,88.61
39,CMR,Cameroon,916,38,12,246,296,10.77,89.23
40,UGA,Uganda,887,37,1,258,296,11.12,88.88
41,LBR,Liberia,159,159,0,137,296,62.05,37.95
42,GIN,Guinea,423,97,0,205,302,23.8,76.2
43,EGY,Egypt,1329,65,73,175,313,7.85,92.15
44,AUS,Australia,1495,11,22,297,330,7.36,92.64
45,SYC,Seychelles,226,142,0,190,332,48.97,51.03
46,HTI,Haiti,684,22,8,309,339,16.52,83.48
47,BTN,Bhutan,806,54,34,251,339,14.02,85.98
48,KOR,Republic of Korea,1050,29,81,237,347,11.02,88.98
49,NPL,Nepal,1047,84,8,259,351,11.17,88.83
50,SOM,Somalia,214,109,163,83,355,55.3,44.7
51,MUS,Mauritius,679,52,90,219,361,17.72,82.28
52,PHL,Philippines,1284,37,9,323,369,9.58,90.42
53,PAK,Pakistan,864,64,27,289,380,14.66,85.34
54,RWA,Rwanda,570,68,16,307,391,22.87,77.13
55,BHS,Bahamas,199,106,106,192,404,67.67,32.33
56,LKA,Sri Lanka,997,107,48,251,406,13.57,86.43
57,ATG,Antigua and Barbuda,196,107,106,195,408,69.39,30.61
58,BMU,Bermuda,208,103,116,189,408,65.38,34.62
59,MNE,Montenegro,678,2,1,409,412,20.26,79.74
60,LBN,Lebanon,569,103,0,309,412,24.14,75.86
61,TCA,Turks and Caicos Islands,204,107,111,194,412,67.32,32.68
62,AIA,Anguilla,202,110,111,198,419,69.14,30.86
63,VGB,British Virgin Islands,166,128,129,165,422,84.74,15.26
64,SCG,Serbia and Montenegro (2003-2006),204,119,136,167,422,68.95,31.05
65,KNA,Saint Kitts and Nevis,209,112,117,198,427,68.1,31.9
66,PNG,Papua New Guinea,364,87,102,254,443,40.57,59.43
67,THA,Thailand,1264,103,124,220,447,11.79,88.21
68,BFA,Burkina Faso,688,74,52,322,448,21.71,78.29
69,IRN,Iran (Islamic Republic of),1153,80,46,322,448,12.95,87.05
70,NGA,Nigeria,781,99,0,354,453,19.33,80.67
71,PER,Peru,1513,63,81,315,459,10.11,89.89
72,MDG,Madagascar,1293,82,41,337,460,11.86,88.14
73,CRI,Costa Rica,1234,3,34,440,477,12.88,87.12
74,GRD,Grenada,217,135,136,215,486,74.65,25.35
75,FRA,France,1601,49,91,352,492,10.24,89.76
76,JOR,Jordan,776,92,0,403,495,21.26,78.74
77,X12,"United Kingdom, Scotland",1446,78,84,336,498,11.48,88.52
78,MDV,Maldives,591,159,89,254,502,28.31,71.69
79,MOZ,Mozambique,654,98,33,372,503,25.64,74.36
80,NER,Niger,878,57,1,450,508,19.29,80.71
81,VNM,Viet Nam,1325,180,50,286,516,12.98,87.02
82,MLI,Mali,699,115,53,360,528,25.18,74.82
83,ESP,Spain,1540,46,103,403,552,11.95,88.05
84,MRT,Mauritania,457,146,52,357,555,40.48,59.52
85,MKD,North Macedonia,788,1,1,554,556,23.52,76.48
86,HND,Honduras,1277,21,0,539,560,14.62,85.38
87,COD,Democratic Republic of the Congo,809,135,2,424,561,23.11,76.89
88,BRN,Brunei Darussalam,445,296,0,269,565,42.32,57.68
89,X09,"United Kingdom, England",1669,31,67,470,568,11.34,88.66
90,TKM,Turkmenistan,336,123,124,324,571,56.65,43.35
91,CYM,Cayman Islands,425,126,116,332,574,45.02,54.98
92,ABW,Aruba,313,156,196,231,583,62.09,37.91
93,CAF,Central African Republic,593,135,42,413,590,33.16,66.84
94,X10,"United Kingdom, Wales",1207,27,49,534,610,16.85,83.15
95,GTM,Guatemala,1142,99,147,374,620,18.1,81.9
96,SLV,El Salvador,1156,10,8,606,624,17.99,82.01
97,TLS,Timor-Leste,583,167,74,385,626,35.79,64.21
98,COL,Colombia,1765,29,34,567,630,11.9,88.1
99,LCA,Saint Lucia,476,135,98,403,636,44.54,55.46
100,LAO,Lao People's Democratic Republic,1089,199,0,437,636,19.47,80.53
101,CZE,Czechia,1332,63,91,491,645,16.14,83.86
102,TCD,Chad,385,231,50,366,647,56.02,43.98
103,X11,"United Kingdom, Northern Ireland",1492,5,7,642,654,14.61,85.39
104,TJK,Tajikistan,682,28,59,568,655,32.01,67.99
105,SUR,Suriname,762,51,28,581,660,28.87,71.13
106,NOR,Norway,1925,32,46,587,665,11.52,88.48
107,DZA,Algeria,735,180,80,416,676,30.66,69.34
108,IRL,Ireland,1624,45,72,562,679,13.94,86.06
109,ARG,Argentina,1616,137,219,342,698,14.4,85.6
110,BOL,Bolivia (Plurinational State of),1104,111,85,504,700,21.14,78.86
111,SWE,Sweden,1733,94,142,482,718,13.81,86.19
112,MEX,Mexico,1620,115,116,488,719,14.79,85.21
113,VEN,Venezuela (Bolivarian Republic of),894,119,160,445,724,26.99,73.01
114,BRA,Brazil,1645,187,191,348,726,14.71,85.29
115,BLZ,Belize,711,150,107,481,738,34.6,65.4
116,VCT,Saint Vincent and the Grenadines,487,184,154,403,741,50.72,49.28
117,DNK,Denmark,1883,15,67,664,746,13.21,86.79
118,CYP,Cyprus,533,144,144,459,747,46.72,53.28
119,PSE,"occupied Palestinian territory, including east Jerusalem",363,228,306,213,747,68.6,31.4
120,SYR,Syrian Arab Republic,336,243,279,226,748,74.21,25.79
121,YEM,Yemen,314,228,294,231,753,79.94,20.06
122,SRB,Serbia,1247,14,20,722,756,20.21,79.79
123,PAN,Panama,1128,97,118,557,772,22.81,77.19
124,ITA,Italy,1203,158,273,355,786,21.78,78.22
125,SLE,Sierra Leone,606,224,54,509,787,43.29,56.71
126,NIC,Nicaragua,1046,213,180,406,799,25.46,74.54
127,MNG,Mongolia,1074,115,69,616,800,24.83,75.17
128,SEN,Senegal,1513,81,89,634,804,17.71,82.29
129,EST,Estonia,1480,13,30,766,809,18.22,81.78
130,TTO,Trinidad and Tobago,461,203,244,370,817,59.07,40.93
131,ZAF,South Africa,1301,159,288,375,822,21.06,78.94
132,TUR,Türkiye,1320,132,146,550,828,20.91,79.09
133,ISR,Israel,1179,176,348,304,828,23.41,76.59
134,UZB,Uzbekistan,1031,0,0,832,832,26.9,73.1
135,MYS,Malaysia,1673,101,75,686,862,17.17,82.83
136,PRY,Paraguay,1475,184,137,547,868,19.62,80.38
137,AFG,Afghanistan,903,269,0,600,869,32.08,67.92
138,JAM,Jamaica,1157,118,97,663,878,25.3,74.7
139,DEU,Germany,1896,36,58,790,884,15.54,84.46
140,DMA,Dominica,505,201,208,478,887,58.55,41.45
141,PRT,Portugal,1789,26,40,826,892,16.62,83.38
142,MMR,Myanmar,790,268,0,626,894,37.72,62.28
143,MLT,Malta,1016,102,172,620,894,29.33,70.67
144,MAR,Morocco,893,221,197,486,904,33.74,66.26
145,HRV,Croatia,1295,68,87,749,904,23.27,76.73
146,ECU,Ecuador,1152,196,236,478,910,26.33,73.67
147,FIN,Finland,1650,11,21,888,920,18.59,81.41
148,KAZ,Kazakhstan,1437,3,2,922,927,21.5,78.5
149,FJI,Fiji,750,217,307,421,945,42.0,58.0
150,TUN,Tunisia,1006,335,125,501,961,31.84,68.16
151,CUB,Cuba,1122,232,258,481,971,28.85,71.15
152,LVA,Latvia,1475,86,117,769,972,21.97,78.03
153,AUT,Austria,1276,153,222,603,978,25.55,74.45
154,MDA,Republic of Moldova,1434,5,6,975,986,22.92,77.08
155,BIH,Bosnia and Herzegovina,698,175,176,647,998,47.66,52.34
156,XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),672,237,254,510,1001,49.65,50.35
157,HUN,Hungary,1125,167,244,604,1015,30.07,69.93
158,IND,India,1445,262,395,364,1021,23.55,76.45
159,LUX,Luxembourg,1264,132,224,670,1026,27.06,72.94
160,NLD,Netherlands (Kingdom of the),1634,155,240,634,1029,20.99,79.01
161,BRB,Barbados,642,309,288,464,1061,55.09,44.91
162,SVN,Slovenia,1899,13,28,1021,1062,18.64,81.36
163,DOM,Dominican Republic,1211,194,188,700,1082,29.78,70.22
164,CHL,Chile,1761,260,414,422,1096,20.75,79.25
165,CHE,Switzerland,1694,178,321,598,1097,21.59,78.41
166,ALB,Albania,1001,210,260,716,1186,39.49,60.51
167,MTQ,Martinique,794,377,273,561,1211,50.84,49.16
168,IRQ,Iraq,875,327,302,582,1211,46.13,53.87
169,NCL,New Caledonia,1271,206,343,670,1219,31.97,68.03
170,GUF,French Guiana,1105,284,370,565,1219,36.77,63.23
171,GRC,Greece,1487,188,232,861,1281,28.72,71.28
172,BLR,Belarus,1322,206,214,875,1295,32.65,67.35
173,GLP,Guadeloupe,817,401,299,596,1296,52.88,47.12
174,RUS,Russian Federation,2145,210,298,839,1347,20.93,79.07
175,POL,Poland,1859,108,118,1133,1359,24.37,75.63
176,UKR,Ukraine,1523,224,262,915,1401,30.66,69.34
177,ARM,Armenia,1199,222,271,949,1442,40.09,59.91
178,ROU,Romania,1692,225,281,973,1479,29.14,70.86
179,URY,Uruguay,1306,371,341,845,1557,39.74,60.26
180,BEL,Belgium,1653,282,423,869,1574,31.74,68.26
181,KGZ,Kyrgyzstan,1312,277,280,1069,1626,41.31,58.69
182,LTU,Lithuania,1385,366,437,864,1667,40.12,59.88
183,GEO,Georgia,1456,358,423,1010,1791,41.0,59.0
184,BGR,Bulgaria,1582,397,472,1153,2022,42.6,57.4
185,ISL,Iceland,1640,415,578,1031,2024,41.14,58.86
186,AZE,Azerbaijan,1324,447,438,1163,2048,51.56,48.44
187,SVK,Slovakia,1674,516,562,1108,2186,43.53,56.47
